"Notes"	"State of Residence"	"State of Residence Code"	"Five Minute APGAR Score"	"Five Minute APGAR Score Code"	Births	Average Age of Mother (years)	Standard Deviation for Average Age of Mother	Average OE Gestational Age (weeks)	Standard Deviation for Average OE Gestational Age	Average LMP Gestational Age (weeks)	Standard Deviation for Average LMP Gestational Age	Average Birth Weight (grams)	Standard Deviation for Average Birth Weight	Average Pre-pregnancy BMI	Standard Deviation for Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Standard Deviation for Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Standard Deviation for Average Interval Since Last Live Birth
	"Tennessee"	"47"	"8"	"8"	9642	27.74	5.80	37.77	2.58	37.98	2.97	3145.76	713.41	27.92	7.45	11.26	4.86	51.43	38.72
	"Tennessee"	"47"	"9"	"9"	64751	27.86	5.69	38.53	1.56	38.60	2.03	3285.07	531.40	27.08	6.95	11.17	4.08	48.79	36.00
	"Tennessee"	"47"	"10"	"10"	2012	27.20	5.51	38.75	1.26	38.92	1.85	3326.22	493.73	26.68	6.84	11.09	3.86	44.19	31.72
	"Tennessee"	"47"	"Unknown or Not Stated"	"99"	693	28.25	5.79	37.68	3.68	37.75	3.80	3106.96	820.57	26.38	6.74	8.04	5.22	43.24	35.43
	"Texas"	"48"	"0"	"0"	165	27.74	5.70	32.88	7.33	33.00	7.49	2265.58	1290.98	27.56	7.03	7.79	5.55	49.11	42.10
	"Texas"	"48"	"1"	"1"	718	28.12	6.13	26.91	7.55	27.30	7.68	1285.91	1200.73	28.97	8.00	5.93	4.61	48.28	38.58
	"Texas"	"48"	"2"	"2"	550	28.59	6.55	31.48	7.53	31.75	7.66	2057.37	1315.32	28.53	7.07	7.73	5.26	60.34	48.56
	"Texas"	"48"	"3"	"3"	544	28.44	6.37	33.37	6.27	33.66	6.50	2310.17	1194.36	28.91	7.35	8.02	4.67	54.29	45.14
	"Texas"	"48"	"4"	"4"	739	28.01	6.44	34.85	5.41	35.07	5.55	2559.01	1112.01	28.25	7.78	8.63	4.43	55.56	42.83
	"Texas"	"48"	"5"	"5"	1091	28.60	6.23	35.09	5.15	35.42	5.33	2600.34	1082.15	28.45	7.60	9.17	4.82	58.15	45.65
	"Texas"	"48"	"6"	"6"	2102	28.37	6.14	35.42	4.79	35.69	4.99	2659.50	1024.71	28.10	7.36	9.10	4.48	57.69	44.95
	"Texas"	"48"	"7"	"7"	5738	28.40	6.17	36.39	4.11	36.60	4.29	2859.78	934.90	27.97	7.30	9.60	4.35	55.01	43.04
	"Texas"	"48"	"8"	"8"	36876	28.38	5.99	37.67	2.70	37.85	2.96	3130.60	709.79	27.64	6.97	10.09	4.19	53.03	40.15
	"Texas"	"48"	"9"	"9"	321836	28.27	5.91	38.45	1.62	38.57	2.05	3267.48	518.93	27.17	6.58	10.44	4.03	51.66	38.17
	"Texas"	"48"	"10"	"10"	7051	28.24	5.70	38.82	1.34	38.92	1.81	3342.79	470.10	26.46	6.35	10.58	3.77	44.76	32.43
	"Texas"	"48"	"Unknown or Not Stated"	"99"	1214	29.26	5.81	35.77	5.14	36.02	5.24	2721.06	1022.46	26.57	6.83	9.43	5.41	47.74	38.13
	"Utah"	"49"	"0"	"0"	24	28.58	4.90	29.50	8.45	29.46	8.48	1779.39	1413.79	25.96	5.45	6.70	4.12	74.36	54.29
	"Utah"	"49"	"1"	"1"	99	28.19	5.33	26.34	7.49	26.86	7.55	1382.24	1228.28	27.65	7.07	6.97	4.60	41.40	30.52
	"Utah"	"49"	"2"	"2"	60	28.48	5.17	32.43	8.04	32.22	7.96	2196.68	1275.20	27.13	6.42	8.67	4.68	46.21	26.71
	"Utah"	"49"	"3"	"3"	85	27.94	5.50	34.66	5.48	34.84	5.62	2637.69	1006.15	26.84	7.78	9.61	3.66	41.42	19.96
	"Utah"	"49"	"4"	"4"	106	30.07	6.04	35.45	4.60	35.47	4.61	2628.25	929.60	27.72	7.01	10.90	4.43	44.71	33.90
	"Utah"	"49"	"5"	"5"	271	29.05	5.54	37.04	3.52	37.23	3.55	2928.99	809.50	27.95	6.97	11.07	3.79	48.45	35.28
	"Utah"	"49"	"6"	"6"	511	28.09	6.22	36.56	3.67	36.86	3.88	2909.95	868.53	27.36	7.21	10.79	4.17	49.89	39.99
	"Utah"	"49"	"7"	"7"	1414	28.81	5.50	37.17	3.13	37.42	3.32	3026.64	774.87	27.55	7.26	10.84	3.93	47.72	34.71
	"Utah"	"49"	"8"	"8"	6336	28.62	5.57	37.95	2.35	38.14	2.65	3201.54	652.91	26.91	6.88	11.11	3.63	44.72	32.91
	"Utah"	"49"	"9"	"9"	36280	28.57	5.36	38.61	1.42	38.79	1.86	3302.16	483.86	26.03	6.18	11.24	3.05	43.23	29.61
	"Utah"	"49"	"10"	"10"	1773	28.84	5.37	38.98	1.23	39.10	1.67	3355.19	442.15	25.32	5.82	10.95	2.89	40.28	26.49
	"Utah"	"49"	"Unknown or Not Stated"	"99"	250	28.99	5.33	37.17	4.57	37.44	4.61	3060.89	873.76	25.71	6.26	9.32	4.92	36.18	20.76
	"Vermont"	"50"	"2"	"2"	10	30.40	5.41	35.00	6.40	34.90	6.16	2554.40	1254.42	30.97	10.86	11.60	4.18	52.67	23.17
	"Vermont"	"50"	"3"	"3"	12	28.75	4.62	36.92	5.48	37.67	5.73	2850.33	1033.01	30.58	9.49	10.67	4.44	110.25	65.90
	"Vermont"	"50"	"4"	"4"	19	31.16	6.77	35.47	5.50	35.58	5.63	2728.00	1066.76	28.34	7.26	11.21	5.22	61.20	29.38
	"Vermont"	"50"	"5"	"5"	38	29.53	6.98	37.61	2.78	37.82	2.80	3088.47	726.20	29.97	7.07	11.79	3.76	60.06	48.49
	"Vermont"	"50"	"6"	"6"	89	29.07	6.07	37.65	3.09	37.83	3.26	3037.89	802.67	28.78	8.99	13.11	4.67	46.36	31.42
	"Vermont"	"50"	"7"	"7"	167	29.42	5.85	37.29	3.66	37.49	3.93	3033.77	860.50	29.31	7.84	12.14	3.61	44.85	31.92
	"Vermont"	"50"	"8"	"8"	648	29.15	5.31	38.23	2.52	38.55	2.89	3271.38	697.88	28.59	7.67	12.77	3.70	49.93	33.77
	"Vermont"	"50"	"9"	"9"	4153	29.74	5.54	38.97	1.64	39.18	2.06	3378.46	535.14	27.48	7.14	12.92	3.30	48.18	33.04
	"Vermont"	"50"	"10"	"10"	261	30.42	5.18	39.17	1.31	39.37	1.77	3449.94	461.94	26.47	6.60	12.58	3.22	45.91	29.48
	"Vermont"	"50"	"Unknown or Not Stated"	"99"	31	31.42	4.46	37.10	4.60	37.10	4.65	2986.76	814.35	26.10	6.45	8.79	5.55	50.13	37.04
	"Virginia"	"51"	"0"	"0"	44	28.75	6.64	30.64	7.95	30.75	7.91	2069.20	1245.95	26.93	7.36	8.36	5.34	71.59	61.84
	"Virginia"	"51"	"1"	"1"	187	28.97	6.37	26.37	7.41	27.01	7.67	1285.20	1227.87	28.60	7.78	6.97	5.71	56.43	48.95
	"Virginia"	"51"	"2"	"2"	127	28.91	6.31	30.78	7.70	31.20	8.00	2037.52	1391.08	28.48	7.36	9.17	5.97	56.02	50.35
	"Virginia"	"51"	"3"	"3"	132	29.32	5.72	34.11	6.54	34.38	6.94	2469.44	1269.52	30.11	8.27	10.22	4.83	62.67	49.32
	"Virginia"	"51"	"4"	"4"	219	29.10	6.37	34.99	5.64	35.39	5.82	2538.87	1115.26	28.48	8.21	10.77	6.74	51.24	46.46
	"Virginia"	"51"	"5"	"5"	388	29.48	6.05	35.73	4.81	36.12	4.98	2660.10	1040.75	28.44	7.42	10.89	6.16	51.76	37.84
	"Virginia"	"51"	"6"	"6"	776	29.64	6.11	35.67	4.88	35.98	5.08	2689.71	1052.03	28.48	7.77	10.66	4.59	59.51	43.81
	"Virginia"	"51"	"7"	"7"	1835	29.86	6.09	35.93	4.42	36.25	4.65	2770.68	1014.75	28.88	7.92	11.16	5.21	58.62	47.46
	"Virginia"	"51"	"8"	"8"	8059	29.55	5.92	37.65	2.91	37.92	3.21	3129.46	781.32	28.06	7.16	11.42	4.36	53.66	40.44
	"Virginia"	"51"	"9"	"9"	85937	29.54	5.72	38.71	1.55	38.93	2.09	3315.62	526.18	27.07	6.63	11.53	3.84	50.73	37.69
	"Virginia"	"51"	"10"	"10"	1864	29.36	5.79	39.05	1.31	39.18	1.89	3405.89	490.53	26.20	6.38	11.46	3.32	45.29	35.06
	"Virginia"	"51"	"Unknown or Not Stated"	"99"	275	28.47	5.68	36.82	4.58	36.98	4.71	2938.83	845.63	26.90	7.10	8.82	4.66	44.21	32.80
	"Washington"	"53"	"0"	"0"	46	29.83	5.67	33.98	7.18	34.33	7.19	2563.53	1376.40	26.05	5.72	8.05	4.27	54.29	35.91
	"Washington"	"53"	"1"	"1"	149	30.20	5.62	29.16	8.16	29.81	8.43	1676.01	1321.97	28.90	7.07	6.58	4.19	47.35	34.83
	"Washington"	"53"	"2"	"2"	155	29.46	5.30	34.42	7.08	34.58	7.11	2652.18	1212.43	28.89	7.22	9.39	4.65	48.79	36.12
	"Washington"	"53"	"3"	"3"	164	29.24	6.19	35.34	6.01	35.89	6.11	2776.84	1165.34	27.78	6.63	9.23	5.06	48.32	42.75
	"Washington"	"53"	"4"	"4"	246	30.10	6.06	36.77	4.45	37.06	4.68	2967.21	962.06	28.32	7.82	10.06	4.40	53.58	43.41
	"Washington"	"53"	"5"	"5"	441	29.29	5.77	37.23	4.02	37.51	4.10	3067.03	920.59	28.62	7.47	10.12	4.23	53.34	39.68
	"Washington"	"53"	"6"	"6"	1019	29.66	5.95	37.17	3.75	37.41	3.99	3013.88	867.19	28.10	7.03	10.33	4.22	54.47	40.01
	"Washington"	"53"	"7"	"7"	2368	29.82	5.81	37.45	3.43	37.70	3.68	3094.77	853.35	27.99	7.19	10.84	4.29	51.42	38.43
	"Washington"	"53"	"8"	"8"	10627	29.77	5.75	38.26	2.47	38.48	2.77	3258.87	681.25	27.40	6.90	10.97	4.07	50.38	37.63
	"Washington"	"53"	"9"	"9"	67917	29.65	5.62	38.86	1.53	39.06	1.98	3372.26	516.85	26.65	6.47	11.22	3.81	48.21	34.98
	"Washington"	"53"	"10"	"10"	2442	29.88	5.39	39.18	1.28	39.31	1.79	3468.96	481.42	26.06	6.05	11.17	3.34	43.40	30.52
	"Washington"	"53"	"Unknown or Not Stated"	"99"	511	29.54	5.83	37.83	3.60	38.03	3.82	3176.10	769.20	26.84	6.39	9.56	5.16	47.47	34.05
	"West Virginia"	"54"	"0"	"0"	10	26.10	5.32	27.40	8.69	27.30	8.57	1477.40	1485.41	25.98	6.08	4.89	3.63	33.67	22.22
	"West Virginia"	"54"	"1"	"1"	38	26.42	5.65	31.13	7.87	30.84	7.96	2113.74	1347.79	29.36	9.85	8.19	4.71	56.15	46.40
	"West Virginia"	"54"	"2"	"2"	31	25.68	6.77	33.03	7.08	33.71	7.88	2316.90	1359.80	28.59	6.64	8.20	5.19	42.43	30.34
	"West Virginia"	"54"	"3"	"3"	39	25.59	5.81	35.08	5.58	36.51	6.01	2697.03	1059.79	28.49	9.66	10.87	5.12	54.60	43.98
	"West Virginia"	"54"	"4"	"4"	66	27.56	6.25	34.67	4.63	35.18	5.13	2515.77	1020.28	29.29	7.91	9.56	5.58	56.55	48.30
	"West Virginia"	"54"	"5"	"5"	90	28.12	5.34	35.29	4.87	35.82	5.30	2614.26	1118.84	28.21	8.96	10.41	5.41	54.22	40.23
	"West Virginia"	"54"	"6"	"6"	152	27.16	5.82	36.11	4.25	36.39	4.58	2747.34	941.64	29.66	9.42	10.72	4.78	53.08	41.08
	"West Virginia"	"54"	"7"	"7"	450	27.24	5.91	36.45	3.74	36.65	4.34	2907.23	886.63	28.60	7.96	10.42	5.11	50.08	40.45
	"West Virginia"	"54"	"8"	"8"	2420	27.02	5.56	37.77	2.46	38.04	2.97	3154.91	685.53	28.83	8.21	11.44	4.51	49.74	36.81
	"West Virginia"	"54"	"9"	"9"	13879	27.12	5.60	38.43	1.60	38.63	2.25	3281.99	540.87	28.02	7.62	11.63	4.17	48.39	35.31
	"West Virginia"	"54"	"10"	"10"	1029	27.49	5.59	38.60	1.41	38.74	1.97	3340.71	472.35	27.49	7.43	11.15	4.09	48.19	36.82
	"West Virginia"	"54"	"Unknown or Not Stated"	"99"	44	28.05	5.26	35.81	4.80	35.51	4.58	2620.86	897.88	27.28	7.03	4.58	5.33	34.74	28.46
	"Wisconsin"	"55"	"0"	"0"	29	30.00	6.47	30.31	7.23	30.45	7.44	1881.64	1260.62	27.42	5.80	7.15	5.45	50.07	38.98
	"Wisconsin"	"55"	"1"	"1"	111	29.10	5.98	27.20	7.86	27.49	7.87	1464.01	1286.72	29.73	7.92	7.14	5.66	51.00	41.75
	"Wisconsin"	"55"	"2"	"2"	94	28.18	6.38	30.18	8.25	30.31	8.26	1932.88	1421.05	30.27	8.02	9.22	5.40	51.64	33.77
	"Wisconsin"	"55"	"3"	"3"	116	29.14	5.82	35.32	5.53	35.75	5.86	2628.72	1131.49	30.66	8.13	10.49	4.70	49.02	29.65
	"Wisconsin"	"55"	"4"	"4"	174	29.52	6.03	35.45	5.13	35.67	5.33	2705.08	1095.05	30.12	8.42	11.23	4.62	51.09	31.62
	"Wisconsin"	"55"	"5"	"5"	347	29.41	5.89	35.93	4.88	36.23	5.09	2790.99	1041.75	29.47	7.64	11.24	4.68	53.29	41.88
	"Wisconsin"	"55"	"6"	"6"	787	29.33	5.63	36.31	4.28	36.60	4.53	2859.28	962.96	29.40	8.07	11.48	4.93	53.67	43.27
	"Wisconsin"	"55"	"7"	"7"	1618	29.41	5.57	36.87	3.80	37.15	3.97	2991.32	914.34	29.36	8.22	11.71	4.70	49.09	37.57
	"Wisconsin"	"55"	"8"	"8"	5777	29.23	5.50	37.85	2.65	38.12	2.90	3195.31	727.90	28.67	7.48	11.85	4.27	47.17	36.61
	"Wisconsin"	"55"	"9"	"9"	52010	29.11	5.40	38.68	1.53	38.88	1.93	3351.49	530.09	27.75	6.96	12.31	3.78	45.13	33.55
	"Wisconsin"	"55"	"10"	"10"	2749	29.21	5.37	39.07	1.28	39.29	1.69	3441.74	477.53	26.95	6.72	10.94	3.83	40.24	30.01
	"Wisconsin"	"55"	"Unknown or Not Stated"	"99"	286	29.33	5.71	37.47	4.42	37.62	4.56	3121.99	857.81	26.74	6.72	7.74	5.44	34.98	27.36
	"Wyoming"	"56"	"3"	"3"	18	28.00	6.77	36.28	4.42	36.50	4.71	2758.94	873.31	30.34	8.33	10.72	5.52	59.33	44.17
	"Wyoming"	"56"	"4"	"4"	18	26.83	6.94	35.83	4.41	35.94	4.50	2693.28	923.90	28.82	6.52	9.00	3.59	65.25	15.50
	"Wyoming"	"56"	"5"	"5"	55	27.60	6.74	36.85	3.26	36.73	3.31	2850.67	710.59	29.83	9.55	10.61	4.23	49.41	45.46
	"Wyoming"	"56"	"6"	"6"	74	27.72	5.44	37.12	3.56	37.26	3.65	2940.24	846.01	28.27	8.36	10.31	4.24	45.43	27.87
	"Wyoming"	"56"	"7"	"7"	178	28.16	5.57	36.84	3.67	37.06	3.76	2862.93	833.71	28.33	7.38	9.59	4.43	42.37	33.79
	"Wyoming"	"56"	"8"	"8"	1030	28.02	5.58	37.97	2.25	38.12	2.49	3090.02	609.50	26.91	6.82	10.48	3.76	46.94	35.95
	"Wyoming"	"56"	"9"	"9"	4831	28.06	5.61	38.68	1.51	38.76	1.84	3213.00	490.45	26.54	6.39	10.51	3.62	45.11	32.51
	"Wyoming"	"56"	"10"	"10"	308	28.27	5.08	38.93	1.15	38.88	1.56	3252.57	393.37	26.06	5.68	11.04	3.28	41.99	28.12
	"Wyoming"	"56"	"Unknown or Not Stated"	"99"	28	29.82	5.49	37.78	5.70	37.89	5.82	3138.42	889.39	25.01	4.37	3.56	3.65	27.09	11.60
"---"
"Dataset: Natality, 2016-2018 expanded"
"Query Parameters:"
"Title: Q3_datasource"
"Year: 2018"
"Group By: State of Residence; Five Minute APGAR Score"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Oct 14, 2019 3:39:07 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2016-2018, on CDC"
"WONDER Online Database, September 2019. Accessed at http://wonder.cdc.gov/natality-expanded-current.html on Oct 14, 2019 3:39:07"
"PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Assurance of Confidentiality."
"2. 'Not Applicable' appears when an average value can not be calculated for the categories ""Not Stated"" or ""Unknown""."
"3. Each birth record represents one living baby."
"4. Caution should be used when interpreting the Average Age of Mother measure. All ages 12 years and less are coded to 12 years."
"All ages 50 years and over are coded to 50 years. The number of counts in those two age goups are small and should not have a"
"great effect on the average age. Consider doing queries with and without these two age groups and compare the effect on Average"
"Age of Mother measure."
"5. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth"
"Weight"" measure."
"6. Records where the gestation age is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Gestational"
"Age"" measure."
"7. Records where the ""BMI"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Pre-pregnancy"
"BMI"" measure."
"8. Records where the ""Number of Prenatal Visits"" is ""Unknown or Not Stated"" are not included in the calculation of the"
"""Average Number of Prenatal Visits"" measure."
"9. Records where the ""Interval Since Last Live Birth"" is ""Unknown or Not Stated"" or ""Zero to 3 months"" are not included in"
"the calculation of the ""Average Interval Since Last Live Birth"" measure."
