Average Age of Mother (years),Average Birth Weight (grams),Average Interval Since Last Live Birth (months),Average LMP Gestational Age (weeks),Average Number of Prenatal Visits,Average OE Gestational Age (weeks),Average Pre-pregnancy BMI,Births,Five Minute APGAR Score Code,Five Minute APGAR Score,Notes,Number of Records,Standard Deviation for Average Age of Mother,Standard Deviation for Average Birth Weight,Standard Deviation for Average Interval Since Last Live Birth,Standard Deviation for Average LMP Gestational Age,Standard Deviation for Average Number of Prenatal Visits,Standard Deviation for Average OE Gestational Age,Standard Deviation for Average Pre-pregnancy BMI,State of Residence Code,State of Residence
29.48,2660.1,51.76,36.12,10.89,35.73,28.44,388,5,5,,1,6.05,1040.75,37.84,4.98,6.16,4.81,7.42,51,Virginia
29.64,2689.71,59.51,35.98,10.66,35.67,28.48,776,6,6,,1,6.11,1052.03,43.81,5.08,4.59,4.88,7.77,51,Virginia
29.86,2770.68,58.62,36.25,11.16,35.93,28.88,1835,7,7,,1,6.09,1014.75,47.46,4.65,5.21,4.42,7.92,51,Virginia
29.55,3129.46,53.66,37.92,11.42,37.65,28.06,8059,8,8,,1,5.92,781.32,40.44,3.21,4.36,2.91,7.16,51,Virginia
29.54,3315.62,50.73,38.93,11.53,38.71,27.07,85937,9,9,,1,5.72,526.18,37.69,2.09,3.84,1.55,6.63,51,Virginia
29.36,3405.89,45.29,39.18,11.46,39.05,26.2,1864,10,10,,1,5.79,490.53,35.06,1.89,3.32,1.31,6.38,51,Virginia
28.47,2938.83,44.21,36.98,8.82,36.82,26.9,275,99,Unknown or Not Stated,,1,5.68,845.63,32.8,4.71,4.66,4.58,7.1,51,Virginia
29.83,2563.53,54.29,34.33,8.05,33.98,26.05,46,0,0,,1,5.67,1376.4,35.91,7.19,4.27,7.18,5.72,53,Washington
30.2,1676.01,47.35,29.81,6.58,29.16,28.9,149,1,1,,1,5.62,1321.97,34.83,8.43,4.19,8.16,7.07,53,Washington
29.46,2652.18,48.79,34.58,9.39,34.42,28.89,155,2,2,,1,5.3,1212.43,36.12,7.11,4.65,7.08,7.22,53,Washington
29.24,2776.84,48.32,35.89,9.23,35.34,27.78,164,3,3,,1,6.19,1165.34,42.75,6.11,5.06,6.01,6.63,53,Washington
30.1,2967.21,53.58,37.06,10.06,36.77,28.32,246,4,4,,1,6.06,962.06,43.41,4.68,4.4,4.45,7.82,53,Washington
29.29,3067.03,53.34,37.51,10.12,37.23,28.62,441,5,5,,1,5.77,920.59,39.68,4.1,4.23,4.02,7.47,53,Washington
29.66,3013.88,54.47,37.41,10.33,37.17,28.1,1019,6,6,,1,5.95,867.19,40.01,3.99,4.22,3.75,7.03,53,Washington
29.82,3094.77,51.42,37.7,10.84,37.45,27.99,2368,7,7,,1,5.81,853.35,38.43,3.68,4.29,3.43,7.19,53,Washington
29.77,3258.87,50.38,38.48,10.97,38.26,27.4,10627,8,8,,1,5.75,681.25,37.63,2.77,4.07,2.47,6.9,53,Washington
29.65,3372.26,48.21,39.06,11.22,38.86,26.65,67917,9,9,,1,5.62,516.85,34.98,1.98,3.81,1.53,6.47,53,Washington
29.88,3468.96,43.4,39.31,11.17,39.18,26.06,2442,10,10,,1,5.39,481.42,30.52,1.79,3.34,1.28,6.05,53,Washington
29.54,3176.1,47.47,38.03,9.56,37.83,26.84,511,99,Unknown or Not Stated,,1,5.83,769.2,34.05,3.82,5.16,3.6,6.39,53,Washington
26.1,1477.4,33.67,27.3,4.89,27.4,25.98,10,0,0,,1,5.32,1485.41,22.22,8.57,3.63,8.69,6.08,54,West Virginia
26.42,2113.74,56.15,30.84,8.19,31.13,29.36,38,1,1,,1,5.65,1347.79,46.4,7.96,4.71,7.87,9.85,54,West Virginia
25.68,2316.9,42.43,33.71,8.2,33.03,28.59,31,2,2,,1,6.77,1359.8,30.34,7.88,5.19,7.08,6.64,54,West Virginia
25.59,2697.03,54.6,36.51,10.87,35.08,28.49,39,3,3,,1,5.81,1059.79,43.98,6.01,5.12,5.58,9.66,54,West Virginia
27.56,2515.77,56.55,35.18,9.56,34.67,29.29,66,4,4,,1,6.25,1020.28,48.3,5.13,5.58,4.63,7.91,54,West Virginia
28.12,2614.26,54.22,35.82,10.41,35.29,28.21,90,5,5,,1,5.34,1118.84,40.23,5.3,5.41,4.87,8.96,54,West Virginia
27.16,2747.34,53.08,36.39,10.72,36.11,29.66,152,6,6,,1,5.82,941.64,41.08,4.58,4.78,4.25,9.42,54,West Virginia
27.24,2907.23,50.08,36.65,10.42,36.45,28.6,450,7,7,,1,5.91,886.63,40.45,4.34,5.11,3.74,7.96,54,West Virginia
27.02,3154.91,49.74,38.04,11.44,37.77,28.83,2420,8,8,,1,5.56,685.53,36.81,2.97,4.51,2.46,8.21,54,West Virginia
27.12,3281.99,48.39,38.63,11.63,38.43,28.02,13879,9,9,,1,5.6,540.87,35.31,2.25,4.17,1.6,7.62,54,West Virginia
27.49,3340.71,48.19,38.74,11.15,38.6,27.49,1029,10,10,,1,5.59,472.35,36.82,1.97,4.09,1.41,7.43,54,West Virginia
28.05,2620.86,34.74,35.51,4.58,35.81,27.28,44,99,Unknown or Not Stated,,1,5.26,897.88,28.46,4.58,5.33,4.8,7.03,54,West Virginia
30,1881.64,50.07,30.45,7.15,30.31,27.42,29,0,0,,1,6.47,1260.62,38.98,7.44,5.45,7.23,5.8,55,Wisconsin
29.1,1464.01,51,27.49,7.14,27.2,29.73,111,1,1,,1,5.98,1286.72,41.75,7.87,5.66,7.86,7.92,55,Wisconsin
28.18,1932.88,51.64,30.31,9.22,30.18,30.27,94,2,2,,1,6.38,1421.05,33.77,8.26,5.4,8.25,8.02,55,Wisconsin
29.14,2628.72,49.02,35.75,10.49,35.32,30.66,116,3,3,,1,5.82,1131.49,29.65,5.86,4.7,5.53,8.13,55,Wisconsin
29.52,2705.08,51.09,35.67,11.23,35.45,30.12,174,4,4,,1,6.03,1095.05,31.62,5.33,4.62,5.13,8.42,55,Wisconsin
29.41,2790.99,53.29,36.23,11.24,35.93,29.47,347,5,5,,1,5.89,1041.75,41.88,5.09,4.68,4.88,7.64,55,Wisconsin
29.33,2859.28,53.67,36.6,11.48,36.31,29.4,787,6,6,,1,5.63,962.96,43.27,4.53,4.93,4.28,8.07,55,Wisconsin
29.41,2991.32,49.09,37.15,11.71,36.87,29.36,1618,7,7,,1,5.57,914.34,37.57,3.97,4.7,3.8,8.22,55,Wisconsin
29.23,3195.31,47.17,38.12,11.85,37.85,28.67,5777,8,8,,1,5.5,727.9,36.61,2.9,4.27,2.65,7.48,55,Wisconsin
29.11,3351.49,45.13,38.88,12.31,38.68,27.75,52010,9,9,,1,5.4,530.09,33.55,1.93,3.78,1.53,6.96,55,Wisconsin
29.21,3441.74,40.24,39.29,10.94,39.07,26.95,2749,10,10,,1,5.37,477.53,30.01,1.69,3.83,1.28,6.72,55,Wisconsin
29.33,3121.99,34.98,37.62,7.74,37.47,26.74,286,99,Unknown or Not Stated,,1,5.71,857.81,27.36,4.56,5.44,4.42,6.72,55,Wisconsin
28,2758.94,59.33,36.5,10.72,36.28,30.34,18,3,3,,1,6.77,873.31,44.17,4.71,5.52,4.42,8.33,56,Wyoming
26.83,2693.28,65.25,35.94,9,35.83,28.82,18,4,4,,1,6.94,923.9,15.5,4.5,3.59,4.41,6.52,56,Wyoming
27.6,2850.67,49.41,36.73,10.61,36.85,29.83,55,5,5,,1,6.74,710.59,45.46,3.31,4.23,3.26,9.55,56,Wyoming
27.72,2940.24,45.43,37.26,10.31,37.12,28.27,74,6,6,,1,5.44,846.01,27.87,3.65,4.24,3.56,8.36,56,Wyoming
28.16,2862.93,42.37,37.06,9.59,36.84,28.33,178,7,7,,1,5.57,833.71,33.79,3.76,4.43,3.67,7.38,56,Wyoming
28.02,3090.02,46.94,38.12,10.48,37.97,26.91,1030,8,8,,1,5.58,609.5,35.95,2.49,3.76,2.25,6.82,56,Wyoming
28.06,3213,45.11,38.76,10.51,38.68,26.54,4831,9,9,,1,5.61,490.45,32.51,1.84,3.62,1.51,6.39,56,Wyoming
28.27,3252.57,41.99,38.88,11.04,38.93,26.06,308,10,10,,1,5.08,393.37,28.12,1.56,3.28,1.15,5.68,56,Wyoming
29.82,3138.42,27.09,37.89,3.56,37.78,25.01,28,99,Unknown or Not Stated,,1,5.49,889.39,11.6,5.82,3.65,5.7,4.37,56,Wyoming
,,,,,,,,,,---,1,,,,,,,,,
,,,,,,,,,,"Dataset: Natality, 2016-2018 expanded",1,,,,,,,,,
,,,,,,,,,,Query Parameters:,1,,,,,,,,,
,,,,,,,,,,Title: Q3_datasource,1,,,,,,,,,
,,,,,,,,,,Year: 2018,1,,,,,,,,,
,,,,,,,,,,Group By: State of Residence; Five Minute APGAR Score,1,,,,,,,,,
,,,,,,,,,,Show Totals: Disabled,1,,,,,,,,,
,,,,,,,,,,Show Zero Values: False,1,,,,,,,,,
,,,,,,,,,,Show Suppressed: False,1,,,,,,,,,
,,,,,,,,,,"Calculate Rates Per: 1,000",1,,,,,,,,,
,,,,,,,,,,---,1,,,,,,,,,
,,,,,,,,,,Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information.,1,,,,,,,,,
,,,,,,,,,,---,1,,,,,,,,,
,,,,,,,,,,"Query Date: Oct 14, 2019 3:39:07 PM",1,,,,,,,,,
,,,,,,,,,,---,1,,,,,,,,,
,,,,,,,,,,"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention",1,,,,,,,,,
,,,,,,,,,,"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2016-2018, on CDC",1,,,,,,,,,
,,,,,,,,,,"WONDER Online Database, September 2019. Accessed at http://wonder.cdc.gov/natality-expanded-current.html on Oct 14, 2019 3:39:07",1,,,,,,,,,
,,,,,,,,,,PM,1,,,,,,,,,
,,,,,,,,,,---,1,,,,,,,,,
,,,,,,,,,,Messages:,1,,,,,,,,,
,,,,,,,,,,1. Totals are not available for these results due to suppression constraints. More Information:,1,,,,,,,,,
,,,,,,,,,,http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,1,,,,,,,,,
,,,,,,,,,,2. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows.,1,,,,,,,,,
,,,,,,,,,,---,1,,,,,,,,,
,,,,,,,,,,Caveats:,1,,,,,,,,,
,,,,,,,,,,1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:,1,,,,,,,,,
,,,,,,,,,,http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Assurance of Confidentiality.,1,,,,,,,,,
,,,,,,,,,,"2. 'Not Applicable' appears when an average value can not be calculated for the categories ""Not Stated"" or ""Unknown"".",1,,,,,,,,,
,,,,,,,,,,3. Each birth record represents one living baby.,1,,,,,,,,,
,,,,,,,,,,4. Caution should be used when interpreting the Average Age of Mother measure. All ages 12 years and less are coded to 12 years.,1,,,,,,,,,
,,,,,,,,,,All ages 50 years and over are coded to 50 years. The number of counts in those two age goups are small and should not have a,1,,,,,,,,,
,,,,,,,,,,great effect on the average age. Consider doing queries with and without these two age groups and compare the effect on Average,1,,,,,,,,,
,,,,,,,,,,Age of Mother measure.,1,,,,,,,,,
,,,,,,,,,,"5. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth",1,,,,,,,,,
,,,,,,,,,,"Weight"" measure.",1,,,,,,,,,
,,,,,,,,,,"6. Records where the gestation age is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Gestational",1,,,,,,,,,
,,,,,,,,,,"Age"" measure.",1,,,,,,,,,
,,,,,,,,,,"7. Records where the ""BMI"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Pre-pregnancy",1,,,,,,,,,
,,,,,,,,,,"BMI"" measure.",1,,,,,,,,,
,,,,,,,,,,"8. Records where the ""Number of Prenatal Visits"" is ""Unknown or Not Stated"" are not included in the calculation of the",1,,,,,,,,,
,,,,,,,,,,"""Average Number of Prenatal Visits"" measure.",1,,,,,,,,,
,,,,,,,,,,"9. Records where the ""Interval Since Last Live Birth"" is ""Unknown or Not Stated"" or ""Zero to 3 months"" are not included in",1,,,,,,,,,
,,,,,,,,,,"the calculation of the ""Average Interval Since Last Live Birth"" measure.",1,,,,,,,,,
